version              n    time(s)  Normalized(ns)
ver1f_local \t   07000  0.1650   3.3665 
ver1f_local \t   07000  0.1625   3.3165 
ver1f_local \t   07000  0.1666   3.4003 
ver1f_local \t   07000  0.1641   3.3497 


ver2f_local \t   00350  0.0004   3.6571 
ver2f_local \t   00350  0.0004   3.3224 
ver2f_local \t   00350  0.0004   3.2082 
ver2f_local \t   00350  0.0004   3.2898 
ver2f_local \t   00350  0.0004   3.2816 
ver2f_local \t   00350  0.0004   3.6327 
ver2f_local \t   00350  0.0005   3.7878 
ver2f_local \t   00350  0.0004   3.4776 
ver2f_local \t   00350  0.0005   4.1959 
ver2f_local \t   00350  0.0004   3.4286 
ver2f_local \t   00350  0.0004   3.4122 
ver2f_local \t   00350  0.0004   3.6408 
ver2f_local \t   00350  0.0004   3.2735 
ver2f_local \t   00350  0.0004   3.4286 
ver2f_local \t   00350  0.0005   4.1633 
ver2f_local \t   00350  0.0004   3.4857 
ver2f_local \t   00350  0.0004   3.5592 
ver2f_local \t   00350  0.0004   3.5265 
ver2f_local \t   00350  0.0004   3.4449 
ver2f_local \t   00350  0.0004   3.2653 


ver1d_local \t   00350  0.0004   3.4286 
ver1d_local \t   00350  0.0004   3.1837 
ver1d_local \t   00350  0.0004   3.1755 
ver1d_local \t   00350  0.0004   3.2082 
ver1d_local \t   00350  0.0004   3.1755 
ver1d_local \t   00350  0.0004   3.2245 
ver1d_local \t   00350  0.0004   3.1837 
ver1d_local \t   00350  0.0004   3.1837 
ver1d_local \t   00350  0.0004   3.2490 
ver1d_local \t   00350  0.0004   3.2490 
ver1d_local \t   00350  0.0004   3.3306 
ver1d_local \t   00350  0.0004   3.6735 
ver1d_local \t   00350  0.0004   3.3714 
ver1d_local \t   00350  0.0004   3.2571 
ver1d_local \t   00350  0.0005   4.0571 
ver1d_local \t   00350  0.0004   3.2408 
ver1d_local \t   00350  0.0004   3.1837 
ver1d_local \t   00350  0.0004   3.2163 
ver1d_local \t   00350  0.0004   3.3143 
ver1d_local \t   00350  0.0004   3.2327 
ver1d_local \t   00350  0.0004   3.1837 
ver1d_local \t   00350  0.0004   3.2245 
ver1d_local \t   00350  0.0004   3.2082 
ver1d_local \t   00350  0.0004   3.2653 
ver1d_local \t   00350  0.0004   3.2571 
ver1d_local \t   00350  0.0004   3.2245 
ver1d_local \t   00350  0.0004   3.5510 
ver1d_local \t   00350  0.0004   3.4694 
ver1d_local \t   00350  0.0004   3.3469 
ver1d_local \t   00350  0.0004   3.2327 
ver1d_local \t   00350  0.0004   3.4531 
ver1d_local \t   00350  0.0004   3.1755 
ver1d_local \t   00350  0.0004   3.2082 
ver1d_local \t   00350  0.0004   3.1755 
ver1d_local \t   00350  0.0004   3.1755 
ver1d_local \t   00350  0.0004   3.1755 
ver1d_local \t   00350  0.0004   3.1837 
ver1d_local \t   00350  0.0004   3.2000 
ver1d_local \t   00350  0.0004   3.5102 
ver1d_local \t   00350  0.0007   5.9102 
ver1d_local \t   00350  0.0010   7.9102 
ver1d_local \t   00350  0.0005   3.6816 
ver1d_local \t   00350  0.0004   3.3143 
ver1d_local \t   00350  0.0004   3.2898 
ver1d_local \t   00350  0.0007   5.3388 
ver1d_local \t   00350  0.0006   4.8082 
ver1d_local \t   00350  0.0010   8.0816 
ver1d_local \t   00350  0.0004   3.3388 
ver1d_local \t   00350  0.0004   3.4122 
ver1d_local \t   00350  0.0004   3.3469 


ver3d_local \t   00350  0.0002   1.8204 
ver3d_local \t   00350  0.0002   1.7306 
ver3d_local \t   00350  0.0002   1.6000 
ver3d_local \t   00350  0.0002   1.6245 
ver3d_local \t   00350  0.0002   1.6245 
ver3d_local \t   00350  0.0002   1.6653 
ver3d_local \t   00350  0.0002   1.5837 
ver3d_local \t   00350  0.0002   1.6653 
ver3d_local \t   00350  0.0002   1.6000 
ver3d_local \t   00350  0.0002   1.5918 
ver3d_local \t   00350  0.0002   1.6245 
ver3d_local \t   00350  0.0002   1.5837 
ver3d_local \t   00350  0.0002   1.6163 
ver3d_local \t   00350  0.0002   1.8694 
ver3d_local \t   00350  0.0002   1.8531 
ver3d_local \t   00350  0.0002   1.7388 
ver3d_local \t   00350  0.0002   1.6816 
ver3d_local \t   00350  0.0003   2.4000 
ver3d_local \t   00350  0.0002   1.7469 
ver3d_local \t   00350  0.0002   1.6653 
ver3d_local \t   00350  0.0002   1.6816 
ver3d_local \t   00350  0.0002   1.6408 
ver3d_local \t   00350  0.0002   1.7061 
ver3d_local \t   00350  0.0002   1.8939 
